Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
GAN1000,Ganeshotsav,30/08/2026,7:00 pm,Jennifer,Poole,jennifer.poole35@example.com,2710405411,13/08/2026 02:33 am,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,8c0b393a-1333-4bc9-bb63-5ff529310971
GAN1001,Ganeshotsav,30/08/2026,7:00 pm,Leah,Norton,leah.norton81@example.com,5997062962,16/08/2026 03:22 am,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,68c690b2-30a2-4ee8-b972-2cc1349ef4a9
GAN1002,Ganeshotsav,30/08/2026,7:00 pm,Samuel,Holmes,samuel.holmes30@example.com,4431069872,06/08/2026 02:23 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,d2eaef18-4b67-47a1-966e-cfe36d779595
GAN1003,Ganeshotsav,30/08/2026,7:00 pm,Kim,Johnson,kim.johnson10@example.com,3103241714,05/08/2026 05:27 am,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,1754bf08-43d7-4413-a939-ebd1e516b0d4
GAN1004,Ganeshotsav,30/08/2026,7:00 pm,Gerald,Lewis,gerald.lewis87@example.com,2565270477,04/08/2026 10:35 am,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,c0927b74-26b0-4ff6-8fc7-9913907276ea
GAN1005,Ganeshotsav,30/08/2026,7:00 pm,Justin,Garcia,justin.garcia7@example.com,1586938068,06/08/2026 01:42 pm,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,79ec533c-3c53-490e-a1b4-1171929d674d
GAN1006,Ganeshotsav,30/08/2026,7:00 pm,Stephen,Beck,stephen.beck69@example.com,0898992172,22/07/2026 01:32 am,Manual,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Manual,1,140ff589-6c62-4c2c-8aec-cec7204db9da
GAN1007,Ganeshotsav,30/08/2026,7:00 pm,Audrey,Moreno,audrey.moreno29@example.com,3294511686,17/08/2026 10:50 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,df9b7c1f-eacb-4f6d-b549-c9f9850a48d4
GAN1008,Ganeshotsav,30/08/2026,7:00 pm,Kirk,Morrison,kirk.morrison74@example.com,1622999119,10/07/2026 09:23 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,693016ea-e0bd-41ee-9807-cf74e1509425
GAN1009,Ganeshotsav,30/08/2026,7:00 pm,Bill,Brown,bill.brown98@example.com,9970246299,20/07/2026 05:02 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,b0c58278-54dc-4ba5-a103-5e1ce3bb22ae
GAN1010,Ganeshotsav,30/08/2026,7:00 pm,Cindy,Johnson,cindy.johnson3@example.com,4505444713,19/07/2026 04:11 pm,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,3,44f8b53c-5224-4d05-9369-2867c626e38f
GAN1011,Ganeshotsav,30/08/2026,7:00 pm,Dustin,Schmidt,dustin.schmidt15@example.com,3736785082,07/08/2026 07:58 pm,Online,Free,2,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,2,d9ee7dc9-c7cf-4ca8-a2b9-f24c67443fb8
GAN1012,Ganeshotsav,30/08/2026,7:00 pm,Rebecca,Hernandez,rebecca.hernandez77@example.com,2330307053,30/07/2026 08:32 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,ec4e8cbb-a2aa-478c-a59e-0258814ff657
GAN1013,Ganeshotsav,30/08/2026,7:00 pm,Jennifer,Harris,jennifer.harris47@example.com,3579727985,15/07/2026 05:45 am,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,1723ecdb-b058-4256-94b3-e8cfbfbbeab3
GAN1014,Ganeshotsav,30/08/2026,7:00 pm,Michael,Gibbs,michael.gibbs5@example.com,0293333468,21/07/2026 12:38 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,2c56e0cd-a5ba-4472-a1df-5609e959137f
GAN1015,Ganeshotsav,30/08/2026,7:00 pm,Jeffery,Wagner,jeffery.wagner32@example.com,3494466574,02/08/2026 08:28 pm,Manual,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,9fa4a627-d306-48be-8548-867bad5cba24
GAN1016,Ganeshotsav,30/08/2026,7:00 pm,Lauren,Marquez,lauren.marquez73@example.com,0858994417,25/07/2026 09:32 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,46e1ee40-dc8a-46a7-933c-2ed5a3fe0479
GAN1017,Ganeshotsav,30/08/2026,7:00 pm,Joseph,Davidson,joseph.davidson78@example.com,3283096520,20/07/2026 02:14 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,6365fc2a-6793-4b09-ab27-1effe82b5b36
GAN1018,Ganeshotsav,30/08/2026,7:00 pm,William,Barnes,william.barnes16@example.com,5387584282,08/08/2026 03:23 am,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,b9a5d4d0-4237-41f1-bdac-dc5e20c0f275
GAN1019,Ganeshotsav,30/08/2026,7:00 pm,Krista,Parsons,krista.parsons6@example.com,5135346554,10/08/2026 10:25 pm,Online,Free,2,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,0dbdc5da-7875-45b9-9e26-ed31d9e92758
GAN1020,Ganeshotsav,30/08/2026,7:00 pm,Christopher,Guerrero,christopher.guerrero98@example.com,7381684602,13/08/2026 04:45 am,Online,Free,2,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,e4917f7d-91c4-4efc-bcb8-96bb68c0cbef
GAN1021,Ganeshotsav,30/08/2026,7:00 pm,Jessica,Simon,jessica.simon58@example.com,2521752500,14/08/2026 06:24 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,938703c9-2b29-4f36-8606-ddc4c2dd901d
GAN1022,Ganeshotsav,30/08/2026,7:00 pm,James,Fox,james.fox71@example.com,1296666760,09/08/2026 05:22 am,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,039a8ed5-f337-4261-9f83-92d5bb0c7919
GAN1023,Ganeshotsav,30/08/2026,7:00 pm,Jeffrey,Smith,jeffrey.smith36@example.com,0033542168,14/08/2026 04:43 am,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,3,4c56fb8f-0bb4-42b3-92e7-6deb10b6a662
GAN1024,Ganeshotsav,30/08/2026,7:00 pm,Nicole,Vasquez,nicole.vasquez22@example.com,8985625753,16/08/2026 09:34 am,Online,Free,3,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,3,fc21109b-ba27-4c64-b96d-1ffb3a799efa
GAN1025,Ganeshotsav,30/08/2026,7:00 pm,Sydney,Floyd,sydney.floyd99@example.com,9821506489,15/07/2026 12:37 pm,Online,Free,1,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,d60bf603-a750-450e-9bad-52a8a976dc4d
