Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
GAR1000,UTSAV Garba 2025,26/09/2025,7:00 pm,Veronica,Torres,veronica.torres37@example.com,7894319100,16/07/2026 08:29 pm,Online,Paid,1,0,$40.00,$0.00,$0.00,$0.00,$1.60,$0.00,$0.00,$0.00,$41.60,$0.00,$0.00,$0.00,$0.00,$40.00,$40.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,00009f1e-ee1e-4dbf-8634-0607f260a3ed
GAR1001,UTSAV Garba 2025,26/09/2025,7:00 pm,Judy,Fox,judy.fox26@example.com,9210533651,22/07/2026 05:50 am,Online,Paid,2,0,$80.00,$0.00,$0.00,$0.00,$3.20,$0.00,$0.00,$0.00,$83.20,$0.00,$0.00,$0.00,$0.00,$80.00,$80.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,e60584a2-08f5-48e7-853b-cc3a4c26fd27
GAR1002,UTSAV Garba 2025,26/09/2025,7:00 pm,Kevin,Sharp,kevin.sharp83@example.com,4731072011,15/07/2026 02:12 am,Online,Paid,3,0,$120.00,$0.00,$0.00,$0.00,$4.80,$0.00,$0.00,$0.00,$124.80,$0.00,$0.00,$0.00,$0.00,$120.00,$120.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,452319ae-45ec-457f-8eb4-b40eb1e62f11
GAR1003,UTSAV Garba 2025,26/09/2025,7:00 pm,Robert,Ramirez,robert.ramirez22@example.com,1231660076,11/07/2026 06:55 am,Online,Paid,3,0,$120.00,$0.00,$0.00,$0.00,$4.80,$0.00,$0.00,$0.00,$124.80,$0.00,$0.00,$0.00,$0.00,$120.00,$120.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,e5bc89c0-93a6-4684-8365-99fcf91070e0
GAR1004,UTSAV Garba 2025,26/09/2025,7:00 pm,Sheena,Rosales,sheena.rosales72@example.com,4473404337,12/07/2026 03:01 am,Online,Paid,1,0,$40.00,$0.00,$0.00,$0.00,$1.60,$0.00,$0.00,$0.00,$41.60,$0.00,$0.00,$0.00,$0.00,$40.00,$40.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,8f16fac0-6f72-4ca4-9b64-3c30d5dc4812
GAR1005,UTSAV Garba 2025,26/09/2025,7:00 pm,Jeffrey,Lawrence,jeffrey.lawrence95@example.com,3045195778,16/08/2026 01:01 pm,Online,Paid,2,0,$80.00,$0.00,$0.00,$0.00,$3.20,$0.00,$0.00,$0.00,$83.20,$0.00,$0.00,$0.00,$0.00,$80.00,$80.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,254c5028-8a6f-4508-8d0f-e9b5b9e826d0
GAR1006,UTSAV Garba 2025,26/09/2025,7:00 pm,Alexis,Harris,alexis.harris38@example.com,6296575427,22/07/2026 09:59 pm,Online,Paid,3,0,$120.00,$0.00,$0.00,$0.00,$4.80,$0.00,$0.00,$0.00,$124.80,$0.00,$0.00,$0.00,$0.00,$120.00,$120.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,9a26a065-1621-4bd0-ae84-a24bf61d6b9c
GAR1007,UTSAV Garba 2025,26/09/2025,7:00 pm,Haley,Lyons,haley.lyons8@example.com,5577820582,20/07/2026 06:48 am,Online,Paid,2,0,$80.00,$0.00,$0.00,$0.00,$3.20,$0.00,$0.00,$0.00,$83.20,$0.00,$0.00,$0.00,$0.00,$80.00,$80.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,28d04562-beaa-400d-94fe-cf58a1f875a4
GAR1008,UTSAV Garba 2025,26/09/2025,7:00 pm,Craig,Wise,craig.wise32@example.com,3616188081,12/08/2026 02:26 pm,Online,Refunded,0,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,f139e895-aa25-4578-8cea-3275ef3bbcb5
GAR1009,UTSAV Garba 2025,26/09/2025,7:00 pm,David,Cunningham,david.cunningham53@example.com,5715586863,16/07/2026 07:58 pm,Manual,Refunded,0,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,1b3ec681-fcea-445a-8066-98e4b013b8e4
