Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
GUL1000,Gulaal Holi,14/03/2026,7:00 pm,Chelsea,Allen,chelsea.allen41@example.com,8389633761,12/08/2026 08:42 pm,Online,Paid,2,0,$50.00,$0.00,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00,$50.00,$50.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,8ad634a7-f6a6-4d7f-a190-28e4e21e2ae4
GUL1001,Gulaal Holi,14/03/2026,7:00 pm,Martha,Drake,martha.drake42@example.com,2671368410,15/08/2026 12:25 am,Online,Paid,4,0,$100.00,$0.00,$0.00,$0.00,$4.00,$0.00,$0.00,$0.00,$104.00,$0.00,$0.00,$0.00,$0.00,$100.00,$100.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,4,282767c0-ca85-482c-817e-d3f4a9f05ec4
GUL1002,Gulaal Holi,14/03/2026,7:00 pm,Megan,Parsons,megan.parsons58@example.com,9218835279,18/07/2026 06:03 am,Manual,Paid,1,0,$25.00,$0.00,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$26.00,$0.00,$0.00,$0.00,$0.00,$25.00,$25.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,c3a623ce-f019-4ca2-b54f-ae0b534b3dbb
GUL1003,Gulaal Holi,14/03/2026,7:00 pm,David,Riggs,david.riggs32@example.com,6776106592,08/08/2026 02:58 am,Online,Paid,1,0,$25.00,$0.00,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$26.00,$0.00,$0.00,$0.00,$0.00,$25.00,$25.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,d02f1905-a778-414e-9b36-840c19b72aaa
GUL1004,Gulaal Holi,14/03/2026,7:00 pm,Lorraine,Foster,lorraine.foster80@example.com,9279761781,20/07/2026 07:09 pm,Online,Paid,2,0,$50.00,$0.00,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00,$50.00,$50.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,a4ac2176-8882-4b82-9a6d-33da945dbe02
GUL1005,Gulaal Holi,14/03/2026,7:00 pm,Stacy,Cook,stacy.cook30@example.com,5720266568,20/07/2026 12:57 am,Online,Paid,3,0,$75.00,$0.00,$0.00,$0.00,$3.00,$0.00,$0.00,$0.00,$78.00,$0.00,$0.00,$0.00,$0.00,$75.00,$75.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,d455b87e-9322-4023-9a99-5017deb04c83
GUL1006,Gulaal Holi,14/03/2026,7:00 pm,Lindsay,Blair,lindsay.blair55@example.com,7349899255,14/07/2026 01:59 am,Online,Paid,2,0,$50.00,$0.00,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00,$50.00,$50.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,a2ef2b77-a0d6-4a59-af66-56b4abd14dd5
GUL1007,Gulaal Holi,14/03/2026,7:00 pm,Joshua,Hays,joshua.hays4@example.com,4299074729,10/07/2026 06:16 pm,Online,Paid,3,0,$75.00,$0.00,$0.00,$0.00,$3.00,$0.00,$0.00,$0.00,$78.00,$0.00,$0.00,$0.00,$0.00,$75.00,$75.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,3,101c1fa0-4df4-4d1f-bf3c-6eb0fd0be52c
GUL1008,Gulaal Holi,14/03/2026,7:00 pm,Alexis,Harris,alexis.harris38@example.com,7080897474,09/08/2026 05:21 am,Online,Paid,2,0,$50.00,$0.00,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00,$50.00,$50.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,67d73e57-48c3-4385-922b-a6f1d9c175fd
GUL1009,Gulaal Holi,14/03/2026,7:00 pm,Joseph,Christian,joseph.christian94@example.com,9841673478,21/07/2026 03:57 am,Online,Paid,2,0,$50.00,$0.00,$0.00,$0.00,$2.00,$0.00,$0.00,$0.00,$52.00,$0.00,$0.00,$0.00,$0.00,$50.00,$50.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,cef516c8-8953-4abc-94de-d20dbbaae0a4
GUL1010,Gulaal Holi,14/03/2026,7:00 pm,Mitchell,Griffith,mitchell.griffith95@example.com,4980445092,31/07/2026 04:54 am,Online,Paid,1,0,$25.00,$0.00,$0.00,$0.00,$1.00,$0.00,$0.00,$0.00,$26.00,$0.00,$0.00,$0.00,$0.00,$25.00,$25.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,1e46c88e-2bc0-40e4-b700-942853a0730b
