Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
MEM1000,MQIS Membership 2025,24/02/2025,7:00 pm,Nicholas,Johnson,nicholas.johnson65@example.com,5846420181,04/08/2026 02:25 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,184cd43f-008f-40ae-ab4f-889936af127a
MEM1001,MQIS Membership 2025,24/02/2025,7:00 pm,Jessica,Davis,jessica.davis21@example.com,1988906091,25/07/2026 01:05 am,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,1eb74ad0-57f2-4c3f-b812-b99d74d915c6
MEM1002,MQIS Membership 2025,24/02/2025,7:00 pm,Casey,Welch,casey.welch2@example.com,6775046162,15/08/2026 06:07 am,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,9aa60211-bbbe-4abb-b23f-58d3fdd9c36f
MEM1003,MQIS Membership 2025,24/02/2025,7:00 pm,Jacob,Doyle,jacob.doyle11@example.com,6887202048,05/08/2026 04:33 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,c8725879-622a-431d-ba34-d202d4125757
MEM1004,MQIS Membership 2025,24/02/2025,7:00 pm,Erica,Young,erica.young55@example.com,4764144271,05/08/2026 04:19 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,dd16c057-107e-4167-b7c7-2bec564d3811
MEM1005,MQIS Membership 2025,24/02/2025,7:00 pm,James,Martinez,james.martinez53@example.com,5080029069,21/07/2026 11:25 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,6cbacc6b-50ac-43d8-b950-55f6321fe84c
MEM1006,MQIS Membership 2025,24/02/2025,7:00 pm,John,Jones,john.jones87@example.com,2729436109,14/08/2026 10:45 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,52ca728b-42d5-4a42-a8d4-19a7f0bed51f
MEM1007,MQIS Membership 2025,24/02/2025,7:00 pm,Oscar,Taylor,oscar.taylor6@example.com,4647023607,12/07/2026 02:52 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,0343dad2-6d8a-44b2-88cb-4fb10f2aea08
MEM1008,MQIS Membership 2025,24/02/2025,7:00 pm,Lisa,Pearson,lisa.pearson37@example.com,2553134176,16/07/2026 10:30 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,58af8235-9374-44cb-a850-a9b40735d08b
MEM1009,MQIS Membership 2025,24/02/2025,7:00 pm,Kyle,Harmon,kyle.harmon98@example.com,7540163790,22/07/2026 01:50 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,1d15a56c-8dbf-4865-aa2b-4d1a8df1944f
MEM1010,MQIS Membership 2025,24/02/2025,7:00 pm,Nathan,Mckee,nathan.mckee6@example.com,3969108296,27/07/2026 06:54 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,c80c86fb-0f97-4718-8feb-736322f964d5
MEM1011,MQIS Membership 2025,24/02/2025,7:00 pm,Terri,Tran,terri.tran12@example.com,4646764785,12/08/2026 04:44 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,42f09374-8e19-4314-8c38-87b8e6224f69
MEM1012,MQIS Membership 2025,24/02/2025,7:00 pm,James,Maynard,james.maynard49@example.com,1439992570,15/08/2026 08:31 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,021ef301-1eab-4b88-ae92-f1de83bf8b10
MEM1013,MQIS Membership 2025,24/02/2025,7:00 pm,Gabriel,Parker,gabriel.parker8@example.com,5143825520,16/07/2026 12:50 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,d537ad9b-565c-488d-a8ce-d275c2e025f1
MEM1014,MQIS Membership 2025,24/02/2025,7:00 pm,Amanda,Hill,amanda.hill2@example.com,9805283905,01/08/2026 10:06 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,03d510a1-e3ba-4e08-b824-f2c77d2e33bc
