Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
MEM1000,MQIS Membership,20/02/2024,7:00 pm,Debra,Harrington,debra.harrington30@example.com,8086186830,10/08/2026 12:49 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,97b90d7c-293a-48c9-a522-cbd1f4282f3b
MEM1001,MQIS Membership,20/02/2024,7:00 pm,Richard,Chavez,richard.chavez2@example.com,8532101339,02/08/2026 10:08 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,47d355e7-0381-482b-90aa-6d1302753ac5
MEM1002,MQIS Membership,20/02/2024,7:00 pm,Shannon,Perez,shannon.perez69@example.com,7658490140,10/07/2026 04:41 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,d58707b7-25e6-4ca5-801a-85fbbc5c364d
MEM1003,MQIS Membership,20/02/2024,7:00 pm,Carrie,Mccall,carrie.mccall87@example.com,0909590279,24/07/2026 03:14 am,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,9ac958a6-651a-4c63-b162-28096412b4ef
MEM1004,MQIS Membership,20/02/2024,7:00 pm,Lauren,Haynes,lauren.haynes39@example.com,8386488362,12/08/2026 09:35 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,31a039a9-b352-4f65-a9bb-560e145bb875
MEM1005,MQIS Membership,20/02/2024,7:00 pm,Jennifer,Jones,jennifer.jones93@example.com,7177529694,25/07/2026 01:46 pm,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,45a5f212-dac7-4cea-9b86-23331969b46e
MEM1006,MQIS Membership,20/02/2024,7:00 pm,Anthony,Day,anthony.day71@example.com,8814124527,06/08/2026 11:51 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,cdfcccbd-8881-44d8-8ae7-235509c5ab35
MEM1007,MQIS Membership,20/02/2024,7:00 pm,Patricia,Salazar,patricia.salazar85@example.com,5056244818,17/08/2026 09:56 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,977b08a8-f5ff-4939-843f-904471209cf5
MEM1008,MQIS Membership,20/02/2024,7:00 pm,Desiree,Bailey,desiree.bailey28@example.com,1391938707,07/08/2026 07:38 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,19ea5e46-059e-4837-ab11-c1f1e02beeab
MEM1009,MQIS Membership,20/02/2024,7:00 pm,Amanda,Boone,amanda.boone96@example.com,3828140462,19/07/2026 07:09 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,322e549d-ba47-483e-aff4-b87d6ffdb4f2
MEM1010,MQIS Membership,20/02/2024,7:00 pm,Albert,Ballard,albert.ballard78@example.com,2362733089,10/08/2026 10:19 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,4f54b4bf-4bf5-482f-86cd-28675189a258
MEM1011,MQIS Membership,20/02/2024,7:00 pm,Daniel,Martin,daniel.martin67@example.com,3210954968,25/07/2026 09:11 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,aa50ec2a-b7cb-4bb3-8d5b-547575e31060
MEM1012,MQIS Membership,20/02/2024,7:00 pm,Kimberly,Palmer,kimberly.palmer45@example.com,9099199846,17/07/2026 05:57 pm,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,9303467b-98c0-47c1-84e9-9dce7722971a
MEM1013,MQIS Membership,20/02/2024,7:00 pm,Randy,Collins,randy.collins23@example.com,0356257621,24/07/2026 10:12 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,58b0e6c9-069d-493d-86d4-0c98247a4253
MEM1014,MQIS Membership,20/02/2024,7:00 pm,Lindsey,Lee,lindsey.lee86@example.com,5000444156,28/07/2026 02:24 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,ba2139a9-5fd6-477c-a855-7192f1f2d022
MEM1015,MQIS Membership,20/02/2024,7:00 pm,Debra,Moody,debra.moody71@example.com,7562202175,27/07/2026 09:54 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,364d063a-8fb5-4a91-abca-02d3d2875a1d
MEM1016,MQIS Membership,20/02/2024,7:00 pm,James,West,james.west82@example.com,5370137607,01/08/2026 10:08 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,477beea0-bb59-4656-a41b-2e3b27148b08
MEM1017,MQIS Membership,20/02/2024,7:00 pm,Jill,Brown,jill.brown54@example.com,2377567794,30/07/2026 03:59 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,2fad394a-d4ac-4753-b45a-7ff9533f6ab8
MEM1018,MQIS Membership,20/02/2024,7:00 pm,Sandra,Romero,sandra.romero86@example.com,8426898807,21/07/2026 05:21 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,49289254-ef70-45b1-a231-a0ebde43e8dc
MEM1019,MQIS Membership,20/02/2024,7:00 pm,Carrie,Short,carrie.short90@example.com,8578564519,27/07/2026 11:02 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,43eeecb8-3df8-448b-915c-b1c672cd11ca
MEM1020,MQIS Membership,20/02/2024,7:00 pm,Nancy,Baker,nancy.baker94@example.com,9851652287,25/07/2026 11:01 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,7b04dd4d-7788-4fc8-8cff-1e201623c2f0
MEM1021,MQIS Membership,20/02/2024,7:00 pm,Ashlee,Sparks,ashlee.sparks14@example.com,4144877747,31/07/2026 02:10 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,13cd1ebd-b897-44b7-a8b0-056a721e2ae8
MEM1022,MQIS Membership,20/02/2024,7:00 pm,Mary,Dunn,mary.dunn34@example.com,3188727796,16/08/2026 02:46 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,ab7d0dd4-859d-46e7-8b69-362681698496
MEM1023,MQIS Membership,20/02/2024,7:00 pm,Marcus,Cordova,marcus.cordova75@example.com,2050578462,25/07/2026 07:22 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,682ed3be-c589-4cd2-8309-b1173590e2e6
MEM1024,MQIS Membership,20/02/2024,7:00 pm,Richard,Young,richard.young39@example.com,5153121413,23/07/2026 07:07 am,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,7bfa013c-d77d-4ca5-a442-4db0807606ac
MEM1025,MQIS Membership,20/02/2024,7:00 pm,Susan,Harris,susan.harris31@example.com,8651466017,03/08/2026 05:26 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,768e974d-6a2f-4280-9d34-845f3ca74505
MEM1026,MQIS Membership,20/02/2024,7:00 pm,Michele,Jones,michele.jones47@example.com,5226412465,11/07/2026 08:26 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,8fad1f23-7c7f-46da-b7e0-0b015c7dce9f
MEM1027,MQIS Membership,20/02/2024,7:00 pm,Cody,Rice,cody.rice91@example.com,5168320227,28/07/2026 01:12 am,Manual,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Manual,1,0cd95fb9-801f-4222-94aa-9d7aa70ae332
MEM1028,MQIS Membership,20/02/2024,7:00 pm,Madison,Blankenship,madison.blankenship47@example.com,4980084755,12/07/2026 05:50 pm,Online,Paid,1,0,$5.00,$0.00,$0.00,$0.00,$0.20,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$0.00,$0.00,$5.00,$5.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,a52b6489-afc8-446a-8a44-d8813f2121cc
