Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
RAA1000,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Anna,Faulkner,anna.faulkner62@example.com,7687141349,05/08/2026 04:44 am,Manual,Paid,1,0,$35.00,$0.00,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$36.40,$0.00,$0.00,$0.00,$0.00,$35.00,$35.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,70b8b52a-63f8-4ac4-9be4-acb1eadb7253
RAA1001,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Amanda,Gill,amanda.gill10@example.com,0558173579,15/08/2026 11:03 pm,Online,Paid,3,0,$105.00,$0.00,$0.00,$0.00,$4.20,$0.00,$0.00,$0.00,$109.20,$0.00,$0.00,$0.00,$0.00,$105.00,$105.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,064579c8-56c8-480c-a2e1-1d85637a0e52
RAA1002,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Alicia,Mccoy,alicia.mccoy13@example.com,5464639897,25/07/2026 05:50 pm,Manual,Paid,2,0,$70.00,$0.00,$0.00,$0.00,$2.80,$0.00,$0.00,$0.00,$72.80,$0.00,$0.00,$0.00,$0.00,$70.00,$70.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,2,a558edb3-a0de-4e1d-ba28-7d16a9a19284
RAA1003,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Gary,Mcclure,gary.mcclure49@example.com,0393427186,23/07/2026 04:30 am,Manual,Paid,1,0,$35.00,$0.00,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$36.40,$0.00,$0.00,$0.00,$0.00,$35.00,$35.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,9ab5d01b-204a-4b78-9278-b2fc5cb3a01e
RAA1004,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Christopher,Williams,christopher.williams26@example.com,5092600011,11/08/2026 10:12 pm,Online,Paid,2,0,$70.00,$0.00,$0.00,$0.00,$2.80,$0.00,$0.00,$0.00,$72.80,$0.00,$0.00,$0.00,$0.00,$70.00,$70.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,1206994d-6a4f-4b5f-92e4-87806c93f0c1
RAA1005,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Donna,Le,donna.le61@example.com,3844981213,12/08/2026 09:45 am,Online,Paid,1,0,$35.00,$0.00,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$36.40,$0.00,$0.00,$0.00,$0.00,$35.00,$35.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,c3872f7d-a7b7-40fd-a3d2-8f8f83120665
RAA1006,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,William,Hoover,william.hoover41@example.com,6990867233,17/07/2026 10:39 pm,Online,Paid,2,0,$70.00,$0.00,$0.00,$0.00,$2.80,$0.00,$0.00,$0.00,$72.80,$0.00,$0.00,$0.00,$0.00,$70.00,$70.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,2,1ff76911-877b-4f5b-832c-9b31aa51ca71
RAA1007,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Christina,Gonzalez,christina.gonzalez67@example.com,3655619221,29/07/2026 04:00 pm,Online,Paid,3,0,$105.00,$0.00,$0.00,$0.00,$4.20,$0.00,$0.00,$0.00,$109.20,$0.00,$0.00,$0.00,$0.00,$105.00,$105.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,3,69210f59-055f-4efc-a3c3-fa41e0f82620
RAA1008,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Jennifer,Jackson,jennifer.jackson22@example.com,8641761302,18/07/2026 05:28 pm,Online,Paid,1,0,$35.00,$0.00,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$36.40,$0.00,$0.00,$0.00,$0.00,$35.00,$35.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,a0b6ef8e-b0b6-4d86-9dca-52f8c3bb526b
RAA1009,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Jason,Salinas,jason.salinas8@example.com,6835991676,27/07/2026 10:14 am,Online,Paid,1,0,$35.00,$0.00,$0.00,$0.00,$1.40,$0.00,$0.00,$0.00,$36.40,$0.00,$0.00,$0.00,$0.00,$35.00,$35.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,93d0d346-c813-40f2-b9af-1b9c25b83368
RAA1010,Raaz Mid-Sem Cruise,11/04/2025,7:00 pm,Christopher,Guerrero,christopher.guerrero98@example.com,2528267126,05/08/2026 09:35 am,Online,Paid,2,0,$70.00,$0.00,$0.00,$0.00,$2.80,$0.00,$0.00,$0.00,$72.80,$0.00,$0.00,$0.00,$0.00,$70.00,$70.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,d880be2a-9ae2-4856-8291-c441954ad961
