Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
SAA1000,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Stanley,Clark,stanley.clark33@example.com,2607721434,15/07/2026 01:50 am,Online,Paid,2,0,$76.00,$0.00,$0.00,$0.00,$3.04,$0.00,$0.00,$0.00,$79.04,$0.00,$0.00,$0.00,$0.00,$76.00,$76.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,f8a3e272-61f5-4a93-898c-5249aa9ea044
SAA1001,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Courtney,Berger,courtney.berger17@example.com,3715573105,10/08/2026 05:19 am,Online,Paid,1,0,$38.00,$0.00,$0.00,$0.00,$1.52,$0.00,$0.00,$0.00,$39.52,$0.00,$0.00,$0.00,$0.00,$38.00,$38.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,10c42bfb-31cd-4a78-8f36-f3d7915aff85
SAA1002,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Tina,Sanchez,tina.sanchez51@example.com,0950793377,01/08/2026 02:20 am,Online,Paid,1,0,$38.00,$0.00,$0.00,$0.00,$1.52,$0.00,$0.00,$0.00,$39.52,$0.00,$0.00,$0.00,$0.00,$38.00,$38.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,315960cb-fd28-40ce-b9f1-0a219cbfbe47
SAA1003,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Chad,Hodges,chad.hodges91@example.com,1485027590,14/08/2026 01:59 am,Manual,Paid,3,0,$114.00,$0.00,$0.00,$0.00,$4.56,$0.00,$0.00,$0.00,$118.56,$0.00,$0.00,$0.00,$0.00,$114.00,$114.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,3,0010f446-04be-4c84-b757-b0da8b4ad625
SAA1004,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Christopher,Santana,christopher.santana57@example.com,2208712189,03/08/2026 02:25 am,Online,Paid,3,0,$114.00,$0.00,$0.00,$0.00,$4.56,$0.00,$0.00,$0.00,$118.56,$0.00,$0.00,$0.00,$0.00,$114.00,$114.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,3,a4a779db-fef7-4254-98a1-26a23eccb075
SAA1005,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Danielle,Tanner,danielle.tanner48@example.com,0233159987,06/08/2026 04:42 pm,Online,Paid,2,0,$76.00,$0.00,$0.00,$0.00,$3.04,$0.00,$0.00,$0.00,$79.04,$0.00,$0.00,$0.00,$0.00,$76.00,$76.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,9efd76be-ca20-4861-b20a-f6005c5bf9bf
SAA1006,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Robert,Mack,robert.mack16@example.com,3088806094,11/07/2026 01:28 pm,Online,Paid,2,0,$76.00,$0.00,$0.00,$0.00,$3.04,$0.00,$0.00,$0.00,$79.04,$0.00,$0.00,$0.00,$0.00,$76.00,$76.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,cb98778b-f46a-43cf-ab57-3ecd03047d1c
SAA1007,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Dennis,Wilson,dennis.wilson55@example.com,3007886758,08/08/2026 01:03 am,Online,Paid,1,0,$38.00,$0.00,$0.00,$0.00,$1.52,$0.00,$0.00,$0.00,$39.52,$0.00,$0.00,$0.00,$0.00,$38.00,$38.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,f311f92b-568c-42fb-8a8c-b8fbaeca219c
SAA1008,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Zoe,Bell,zoe.bell8@example.com,9145049723,18/08/2026 01:17 am,Online,Paid,2,0,$76.00,$0.00,$0.00,$0.00,$3.04,$0.00,$0.00,$0.00,$79.04,$0.00,$0.00,$0.00,$0.00,$76.00,$76.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,2,20c06aed-64b2-4499-ad5a-01104a908514
SAA1009,Saazish Mid-Sem Cruise,09/04/2026,7:00 pm,Shannon,Bailey,shannon.bailey62@example.com,5181420438,27/07/2026 06:37 pm,Online,Paid,2,0,$76.00,$0.00,$0.00,$0.00,$3.04,$0.00,$0.00,$0.00,$79.04,$0.00,$0.00,$0.00,$0.00,$76.00,$76.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,2,425e3ac3-b053-4ba8-b455-8bdeae962d14
