Order id,Event,Event date,Event time,First name,Last name,Email,Mobile,Order date,Type,Financial status,Valid tickets,Cancelled tickets,Ticket sales,Add-on sales,Donations,Fee rebate,Humanitix passed-on fee,Amex surcharge,Refund protection,Custom tax,Paid,Humanitix absorbed fees,Zip fee,Afterpay fee,Refunds,Your earnings,Your payout,Refunded fees,Giftcard used,Voucher used,Discount code used,Discount redeemed,Tax on sales,Tax on rebates,Tax on booking fees,Gateway,Marketing opt-in,Notes,Status,Sales channel,Tickets delivered,Long order id
SHA1000,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Michael,Cox,michael.cox92@example.com,1535964726,12/08/2026 05:01 pm,Online,Paid,2,0,$90.00,$0.00,$0.00,$0.00,$3.60,$0.00,$0.00,$0.00,$93.60,$0.00,$0.00,$0.00,$0.00,$90.00,$90.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,ad07020c-46e8-41dc-a990-6f0e441dfdd6
SHA1001,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Edward,Jenkins,edward.jenkins68@example.com,7283101850,24/07/2026 10:42 am,Online,Paid,2,0,$90.00,$0.00,$0.00,$0.00,$3.60,$0.00,$0.00,$0.00,$93.60,$0.00,$0.00,$0.00,$0.00,$90.00,$90.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,50eb67db-7aed-472c-8a33-132fef43e918
SHA1002,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Xavier,Jimenez,xavier.jimenez90@example.com,5058105801,26/07/2026 03:08 am,Online,Paid,1,0,$45.00,$0.00,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$46.80,$0.00,$0.00,$0.00,$0.00,$45.00,$45.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,6ba3bc80-d2dd-438a-ae30-d8dee3c03b6f
SHA1003,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Emily,Adams,emily.adams66@example.com,4476193788,29/07/2026 09:09 am,Online,Paid,1,0,$45.00,$0.00,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$46.80,$0.00,$0.00,$0.00,$0.00,$45.00,$45.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,a24dd10f-c92a-4444-a254-313ad47fde4e
SHA1004,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Kelsey,Johnson,kelsey.johnson4@example.com,3334774963,21/07/2026 10:33 pm,Manual,Paid,1,0,$45.00,$0.00,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$46.80,$0.00,$0.00,$0.00,$0.00,$45.00,$45.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Manual,1,27fdd5ff-25dc-444b-9c51-8bb0e4e7f9e7
SHA1005,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Kevin,Cabrera,kevin.cabrera99@example.com,2819150237,10/08/2026 08:15 am,Online,Paid,1,0,$45.00,$0.00,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$46.80,$0.00,$0.00,$0.00,$0.00,$45.00,$45.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,1,3eb00c34-7fad-44c8-a389-84afe2d560e8
SHA1006,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Kristen,Stevens,kristen.stevens42@example.com,0521940504,21/07/2026 03:39 pm,Online,Paid,2,0,$90.00,$0.00,$0.00,$0.00,$3.60,$0.00,$0.00,$0.00,$93.60,$0.00,$0.00,$0.00,$0.00,$90.00,$90.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,2,dd42a08d-7a6b-4010-9fd3-05b006c38094
SHA1007,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Laura,Henderson,laura.henderson14@example.com,2914597736,14/08/2026 08:46 pm,Online,Paid,1,0,$45.00,$0.00,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$46.80,$0.00,$0.00,$0.00,$0.00,$45.00,$45.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,1,ef90d5ce-bdd1-4430-8046-6dfe885aa655
SHA1008,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Judy,Lambert,judy.lambert65@example.com,9817473665,22/07/2026 06:36 pm,Online,Paid,4,0,$180.00,$0.00,$0.00,$0.00,$7.20,$0.00,$0.00,$0.00,$187.20,$0.00,$0.00,$0.00,$0.00,$180.00,$180.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,No,,Completed,Online,4,599e7faa-86f3-42db-875a-2a6ba5426194
SHA1009,Shaandaar Diwali Cruise,26/10/2024,7:00 pm,Andrea,Martinez,andrea.martinez97@example.com,8955713198,30/07/2026 08:15 pm,Online,Paid,2,0,$90.00,$0.00,$0.00,$0.00,$3.60,$0.00,$0.00,$0.00,$93.60,$0.00,$0.00,$0.00,$0.00,$90.00,$90.00,$0.00,,,,$0.00,$0.00,$0.00,$0.00,Stripe,Yes,,Completed,Online,2,99d657ab-b907-4748-8aea-d7c0f545c4ad
